statenum,casenum,vnumber,pnumber,city,county,accdate,accday,accmon,caseyear,driverdrowsy,latitude,longitude,age,airbag,prf1,prf2,prf3,restraint,body,gvwrating,vfatcount,make,model,modelyr,vrf1,vrf2,drivpres,drf1,drf2,drf3,drf4,dridistract
1,267,1,1,930,69,5/14/16,14,5,2016,0,31.31360556,-85.43875833,26,8,0,0,0,3,3,0,1,49,50,2008,0,0,1,8,28,0,0,0
1,271,1,1,0,15,5/18/16,18,5,2016,0,33.82821944,-85.80658889,44,8,0,0,0,3,4,0,1,12,37,2011,0,0,1,28,0,0,0,99
1,271,2,1,0,15,5/18/16,18,5,2016,0,33.82821944,-85.80658889,52,8,0,0,0,3,31,0,0,7,482,2012,0,0,1,89,0,0,0,0
1,273,2,1,470,53,4/5/16,5,4,2016,0,31.08608056,-87.10096667,17,1,0,0,0,3,14,0,1,2,405,2010,0,0,1,99,99,99,99,0
1,277,1,1,3050,125,5/21/16,21,5,2016,0,33.19810556,-87.48073889,34,20,0,0,0,3,4,0,0,55,33,2014,0,0,1,0,0,0,0,99
1,277,1,2,3050,125,5/21/16,21,5,2016,0,33.19810556,-87.48073889,998,0,0,0,0,3,4,0,0,55,33,2014,0,0,1,0,0,0,0,99
1,277,1,3,3050,125,5/21/16,21,5,2016,0,33.19810556,-87.48073889,998,0,0,0,0,3,4,0,0,55,33,2014,0,0,1,0,0,0,0,99
1,279,1,1,0,15,5/22/16,22,5,2016,0,33.78005556,-85.95733611,80,8,0,0,0,3,4,0,1,12,17,2014,0,0,1,28,0,0,0,99
1,285,1,1,0,83,5/25/16,25,5,2016,0,34.84559167,-86.87363889,52,1,0,0,0,3,14,0,1,37,402,2010,0,0,1,0,0,0,0,99
1,289,1,1,80,55,5/26/16,26,5,2016,0,34.03827778,-86.2931,16,99,0,0,0,99,31,0,1,20,481,2008,0,0,1,28,0,0,0,99
1,291,1,1,0,133,5/26/16,26,5,2016,0,34.14956667,-87.18136667,69,1,0,0,0,3,30,0,1,49,472,2012,0,0,1,28,0,0,0,99
1,303,1,1,1730,89,6/5/16,5,6,2016,0,34.77149444,-86.65098889,27,8,0,0,0,99,4,0,1,35,47,2013,0,0,1,0,0,0,0,99
1,306,1,1,0,21,6/4/16,4,6,2016,0,32.91451667,-86.64251944,24,1,0,0,0,3,4,0,0,7,24,2014,0,0,1,0,0,0,0,0
1,314,1,1,2100,97,5/31/16,31,5,2016,0,30.70356667,-88.04746944,23,20,0,0,0,3,31,0,0,20,481,2010,0,0,1,0,0,0,0,99
1,315,1,1,0,133,6/1/16,1,6,2016,0,34.17855833,-87.12178611,67,1,0,0,0,7,4,0,2,20,2,2012,0,0,1,28,0,0,0,99
